ACCT,BAL,ST,LPD,CODATE,TYPE
ACCT-100000,134.55,NY,09/15/2023,09/15/2024,medical
ACCT-100001,67.05,TX,09/11/2023,09/11/2024,TELECOM
ACCT-100002,221.87,TX,,04/24/2022,TELECOM
ACCT-100003,236.53,TX,08/02/2021,08/02/2022,CREDIT CARD
ACCT-100004,191.72,TX,07/16/2019,07/16/2020,RETAIL
ACCT-100005,211.33,TX,06/26/2024,06/26/2025,Credit Card
ACCT-100006,81.67,TX,02/27/2019,02/27/2020,RETAIL
ACCT-100007,156.28,FL,08/18/2023,08/18/2024,RETAIL
ACCT-100008,33.35,NY,10/07/2020,10/07/2021,TELECOM
ACCT-100009,20.96,TX,12/12/2022,12/12/2023,Credit Card
ACCT-100010,159.82,NY,06/24/2023,06/24/2024,CREDIT CARD
ACCT-100011,136.86,FL,,06/07/2022,medical
ACCT-100012,139.26,TX,08/03/2023,08/03/2024,TELECOM
ACCT-100013,151.93,TX,09/14/2023,09/14/2024,CREDIT CARD
ACCT-100014,214.40,NY,01/26/2021,01/26/2022,CREDIT CARD
ACCT-100015,131.84,TX,,06/27/2023,CREDIT CARD
ACCT-100016,"$7,177.70",OH,06/15/2022,06/15/2023,medical
ACCT-100017,36.49,NY,03/20/2022,03/20/2023,TELECOM
ACCT-100018,218.57,TX,10/18/2022,10/18/2023,CREDIT CARD
ACCT-100019,231.05,TX,03/13/2020,03/13/2021,CREDIT CARD
ACCT-100020,75.22,TX,,01/23/2022,CREDIT CARD
ACCT-100021,"$2,858.70",FL,04/11/2023,04/11/2024,CREDIT CARD
ACCT-100022,174.31,FL,04/17/2021,04/17/2022,medical
ACCT-100023,"$4,461.45",TX,07/17/2024,07/17/2025,CREDIT CARD
ACCT-100024,206.95,TX,05/02/2021,05/02/2022,CREDIT CARD
ACCT-100025,156.18,TX,01/23/2022,01/23/2023,medical
ACCT-100026,52.43,TX,09/03/2020,09/03/2021,CREDIT CARD
ACCT-100027,44.94,TX,11/21/2019,11/21/2020,CREDIT CARD
ACCT-100028,173.03,NY,,08/12/2024,medical
ACCT-100029,23.47,NY,09/20/2020,09/20/2021,RETAIL
ACCT-100030,79.00,NY,08/24/2019,08/24/2020,medical
ACCT-100031,"$3,124.00",OH,07/21/2024,07/21/2025,CREDIT CARD
ACCT-100032,177.13,NY,07/09/2019,07/09/2020,CREDIT CARD
ACCT-100033,158.06,TX,06/07/2022,06/07/2023,Credit Card
ACCT-100034,39.50,OH,01/25/2023,01/25/2024,medical
ACCT-100035,166.65,NY,08/28/2024,08/28/2025,CREDIT CARD
ACCT-100036,114.31,NY,01/18/2022,01/18/2023,TELECOM
ACCT-100037,50.57,OH,04/19/2024,04/19/2025,CREDIT CARD
ACCT-100038,144.13,TX,08/18/2022,08/18/2023,CREDIT CARD
ACCT-100039,224.69,NY,03/28/2024,03/28/2025,CREDIT CARD
ACCT-100040,"$4,478.60",TX,07/27/2020,07/27/2021,CREDIT CARD
ACCT-100041,86.29,NY,05/08/2019,05/08/2020,Credit Card
ACCT-100042,222.83,TX,03/24/2020,03/24/2021,Credit Card
ACCT-100043,237.46,TX,08/11/2024,08/11/2025,Credit Card
ACCT-100044,"$3,720.89",OH,07/01/2023,07/01/2024,CREDIT CARD
ACCT-100045,56.53,TX,12/10/2019,12/10/2020,TELECOM
ACCT-100046,93.65,NY,,12/23/2020,RETAIL
ACCT-100047,88.85,TX,08/22/2021,08/22/2022,medical
ACCT-100048,224.97,NY,02/02/2024,02/02/2025,RETAIL
ACCT-100049,104.09,TX,11/25/2021,11/25/2022,medical
ACCT-100050,"$2,570.23",NY,04/25/2023,04/25/2024,TELECOM
ACCT-100051,111.06,TX,05/20/2023,05/20/2024,medical
ACCT-100052,"$3,089.44",NY,04/03/2024,04/03/2025,RETAIL
ACCT-100053,"$6,665.09",OH,04/26/2021,04/26/2022,CREDIT CARD
ACCT-100054,"$5,901.57",NY,02/17/2021,02/17/2022,Credit Card
ACCT-100055,"$4,476.52",TX,04/28/2023,04/28/2024,TELECOM
ACCT-100056,112.45,CA,12/09/2020,12/09/2021,CREDIT CARD
ACCT-100057,230.31,NY,06/15/2022,06/15/2023,medical
ACCT-100058,61.96,NY,06/05/2021,06/05/2022,CREDIT CARD
ACCT-100059,83.77,TX,11/01/2020,11/01/2021,CREDIT CARD
ACCT-100060,"$4,613.48",TX,10/08/2023,10/08/2024,RETAIL
ACCT-100061,188.84,CA,11/22/2022,11/22/2023,medical
ACCT-100062,78.31,TX,12/26/2019,12/26/2020,Credit Card
ACCT-100063,20.56,NY,11/22/2023,11/22/2024,CREDIT CARD
ACCT-100064,54.21,TX,05/27/2023,05/27/2024,TELECOM
ACCT-100065,95.46,NY,10/22/2024,10/22/2025,CREDIT CARD
ACCT-100066,125.66,CA,10/27/2022,10/27/2023,medical
ACCT-100067,223.73,TX,05/27/2022,05/27/2023,CREDIT CARD
ACCT-100068,"$2,962.12",NY,08/01/2020,08/01/2021,TELECOM
ACCT-100069,"$4,574.56",NY,06/08/2020,06/08/2021,medical
ACCT-100070,47.38,NY,10/18/2019,10/18/2020,Credit Card
ACCT-100071,"$5,191.69",TX,09/22/2019,09/22/2020,CREDIT CARD
ACCT-100072,132.11,CA,05/18/2023,05/18/2024,RETAIL
ACCT-100073,99.45,TX,04/06/2021,04/06/2022,medical
ACCT-100074,119.94,TX,11/13/2023,11/13/2024,CREDIT CARD
ACCT-100075,193.83,CA,10/10/2021,10/10/2022,Credit Card
ACCT-100076,"$4,513.62",CA,09/15/2022,09/15/2023,medical
ACCT-100077,242.58,TX,,10/19/2022,medical
ACCT-100078,44.04,CA,06/08/2024,06/08/2025,RETAIL
ACCT-100079,164.22,FL,03/23/2023,03/23/2024,Credit Card
ACCT-100080,75.51,OH,,01/20/2020,TELECOM
ACCT-100081,160.93,TX,04/04/2022,04/04/2023,CREDIT CARD
ACCT-100082,"$6,169.49",NY,06/08/2023,06/08/2024,TELECOM
ACCT-100083,41.58,NY,01/17/2019,01/17/2020,CREDIT CARD
ACCT-100084,209.05,NY,12/28/2024,12/28/2025,RETAIL
ACCT-100085,78.93,NY,06/26/2023,06/26/2024,CREDIT CARD
ACCT-100086,151.60,NY,02/12/2021,02/12/2022,TELECOM
ACCT-100087,"$7,351.24",NY,11/05/2021,11/05/2022,TELECOM
ACCT-100088,"$3,423.87",NY,06/18/2023,06/18/2024,CREDIT CARD
ACCT-100089,187.83,TX,02/12/2019,02/12/2020,CREDIT CARD
ACCT-100090,192.36,NY,03/02/2019,03/02/2020,TELECOM
