account_id,balance_cents,state,chargeoff_date,last_payment_date,debt_type
ACCT00000000,4617,NY,2025-12-26,2024-11-26,fintech_personal_loan
ACCT00000001,5371,TX,2025-04-26,2025-01-26,fintech_personal_loan
ACCT00000002,6787,NY,2025-06-26,2025-01-26,bnpl
ACCT00000003,6960,TX,2026-01-26,2025-04-26,fintech_personal_loan
ACCT00000004,2234,IL,2025-08-26,2024-11-26,credit_card
ACCT00000005,3858,NY,2025-09-26,2025-06-26,fintech_personal_loan
ACCT00000006,4503,NY,2026-01-26,2025-08-26,fintech_personal_loan
ACCT00000007,4218,NY,2025-08-26,2024-11-26,credit_card
ACCT00000008,6056,TX,2025-08-26,2025-01-26,bnpl
ACCT00000009,5580,NY,2025-08-26,2025-04-26,bnpl
ACCT00000010,5323,TX,2025-03-26,2025-01-26,credit_card
ACCT00000011,3441,NY,2026-02-26,2025-05-26,fintech_personal_loan
ACCT00000012,5009,NY,2025-07-26,2024-12-26,fintech_personal_loan
ACCT00000013,3691,PA,2025-10-26,2024-09-26,bnpl
ACCT00000014,5569,NC,2025-02-26,2025-01-26,fintech_personal_loan
ACCT00000015,4232,NY,2026-01-26,2025-02-26,credit_card
ACCT00000016,4341,NY,2026-02-26,2025-02-26,bnpl
ACCT00000017,4396,VA,2025-04-26,2024-12-26,credit_card
ACCT00000018,5684,TX,2025-03-26,2024-12-26,credit_card
ACCT00000019,4233,NY,2025-08-26,2025-02-26,credit_card
ACCT00000020,6016,FL,2025-04-26,2025-02-26,credit_card
ACCT00000021,4689,TX,2025-06-26,2024-11-26,credit_card
ACCT00000022,6313,TX,2025-07-26,2025-02-26,credit_card
ACCT00000023,5128,TX,2025-05-26,2024-12-26,credit_card
ACCT00000024,4063,TX,2025-04-26,2025-03-26,bnpl
ACCT00000025,4421,NC,2025-10-26,2025-06-26,bnpl
ACCT00000026,4567,NY,2025-11-26,2025-02-26,bnpl
ACCT00000027,487760,NY,2026-01-26,2025-03-26,fintech_personal_loan
ACCT00000028,5329,NY,2025-12-26,2025-08-26,unknown
ACCT00000029,5603,TX,2025-02-26,2024-10-26,fintech_personal_loan
ACCT00000030,4492,NY,2025-06-26,2025-01-26,credit_card
ACCT00000031,5620,NY,2026-02-26,2025-01-26,fintech_personal_loan
ACCT00000032,4880,MI,2025-06-26,2025-03-26,bnpl
ACCT00000033,4837,NY,2025-09-26,2025-02-26,bnpl
ACCT00000034,6451,TX,2026-02-26,2025-03-26,fintech_personal_loan
ACCT00000035,4620,TX,2025-08-26,2025-03-26,credit_card
ACCT00000036,5356,NY,2025-06-26,2025-05-26,fintech_personal_loan
ACCT00000037,6245,PA,2025-06-26,2025-02-26,bnpl
ACCT00000038,4961,TX,2025-06-26,2025-01-26,fintech_personal_loan
ACCT00000039,6706,NY,2025-02-26,2024-12-26,credit_card
