account_id,balance_cents,state,chargeoff_date,last_payment_date,debt_type
ACCT00000000,146251,TX,2025-03-26,2024-12-26,credit_card
ACCT00000001,52682,CA,2026-01-26,2024-10-26,credit_card
ACCT00000002,63415,NC,2025-02-26,2024-10-26,fintech_personal_loan
ACCT00000003,48434,NC,2025-08-26,2024-11-26,fintech_personal_loan
ACCT00000004,34297,WA,2025-03-26,2025-01-26,credit_card
ACCT00000005,95072,GA,2026-01-26,2024-10-26,fintech_personal_loan
ACCT00000006,35954,OH,2025-12-26,2025-03-26,fintech_personal_loan
ACCT00000007,144085,NC,2025-03-26,2025-01-26,fintech_personal_loan
ACCT00000008,27306,FL,2025-03-26,2024-09-26,fintech_personal_loan
ACCT00000009,99693,MI,2025-08-26,2025-07-26,credit_card
ACCT00000010,48036,NY,2025-04-26,2024-09-26,bnpl
ACCT00000011,95690,CA,2025-03-26,2025-01-26,fintech_personal_loan
ACCT00000012,41944,TX,2025-04-26,2025-02-26,fintech_personal_loan
ACCT00000013,61891,FL,2025-10-26,2024-08-26,credit_card
ACCT00000014,100140,OH,2025-02-26,2025-01-26,fintech_personal_loan
ACCT00000015,64802,CA,2025-07-26,2025-03-26,bnpl
ACCT00000016,88049,VA,2025-10-26,,credit_card
ACCT00000017,124542,FL,2025-10-26,2025-04-26,fintech_personal_loan
ACCT00000018,90674,GA,2026-01-26,2025-08-26,fintech_personal_loan
ACCT00000019,109758,CA,2025-10-26,2025-08-26,fintech_personal_loan
ACCT00000020,58646,TX,2025-09-26,2024-11-26,credit_card
ACCT00000021,56417,CA,2025-06-26,2024-08-26,fintech_personal_loan
ACCT00000022,57799,OH,2026-01-26,2024-09-26,bnpl
ACCT00000023,30321,PA,2025-08-26,2024-10-26,fintech_personal_loan
ACCT00000024,45545,IL,2025-08-26,2025-04-26,fintech_personal_loan
ACCT00000025,23595,PA,2025-05-26,2024-08-26,bnpl
ACCT00000026,71795,PA,2025-10-26,2025-07-26,fintech_personal_loan
ACCT00000027,20037,PA,2025-05-26,2025-03-26,bnpl
ACCT00000028,41983,NC,2025-02-26,2025-01-26,fintech_personal_loan
ACCT00000029,47781,GA,2025-10-26,2025-04-26,fintech_personal_loan
ACCT00000030,74792,PA,2025-10-26,2025-02-26,fintech_personal_loan
ACCT00000031,137614,TX,2025-08-26,2025-01-26,credit_card
ACCT00000032,59980,TX,2025-07-26,2025-06-26,bnpl
ACCT00000033,94305,GA,2025-02-26,2024-12-26,credit_card
ACCT00000034,41171,FL,2025-02-26,2024-09-26,credit_card
ACCT00000035,64010,PA,2025-11-26,2025-07-26,credit_card
ACCT00000036,53467,FL,2025-06-26,2025-05-26,fintech_personal_loan
ACCT00000037,139300,NC,2025-11-26,2024-08-26,fintech_personal_loan
ACCT00000038,65949,CA,2025-06-26,2024-12-26,credit_card
ACCT00000039,125686,TX,2025-04-26,2025-03-26,fintech_personal_loan
ACCT00000040,122039,FL,2025-12-26,2025-04-26,fintech_personal_loan
ACCT00000041,34011,OH,2025-05-26,2025-02-26,fintech_personal_loan
ACCT00000042,88665,TX,2026-01-26,2025-06-26,credit_card
ACCT00000043,20737,OH,2025-02-26,2024-11-26,bnpl
ACCT00000044,57784,MI,2026-02-26,2024-11-26,fintech_personal_loan
ACCT00000045,52686,CA,2025-12-26,2025-02-26,credit_card
ACCT00000046,149452,VA,2025-06-26,2025-05-26,fintech_personal_loan
ACCT00000047,20000,IL,2025-08-26,2025-03-26,credit_card
ACCT00000048,114179,IL,2025-04-26,2024-08-26,bnpl
ACCT00000049,25600,CA,2026-02-26,2025-08-26,bnpl
ACCT00000050,80815,OH,2025-09-26,2024-11-26,credit_card
ACCT00000051,56272,IL,2025-08-26,2025-05-26,fintech_personal_loan
ACCT00000052,150000,WA,2025-09-26,2025-01-26,fintech_personal_loan
ACCT00000053,113574,VA,2025-03-26,2024-08-26,fintech_personal_loan
ACCT00000054,77276,GA,2025-06-26,2024-08-26,fintech_personal_loan
ACCT00000055,86808,OH,2025-07-26,2024-10-26,bnpl
ACCT00000056,80533,FL,2025-02-26,2024-09-26,credit_card
ACCT00000057,39977,IL,2025-06-26,2024-09-26,fintech_personal_loan
ACCT00000058,43138,IL,2025-12-26,2025-06-26,bnpl
ACCT00000059,84357,NC,2025-04-26,,bnpl
ACCT00000060,87872,WA,2025-08-26,2024-08-26,fintech_personal_loan
ACCT00000061,56000,IL,2025-05-26,2025-03-26,bnpl
ACCT00000062,26846,NC,2025-02-26,2024-11-26,credit_card
ACCT00000063,75226,NY,2025-08-26,2024-08-26,fintech_personal_loan
ACCT00000064,24125,NC,2025-11-26,2024-08-26,credit_card
ACCT00000065,25065,PA,2025-03-26,2025-02-26,credit_card
ACCT00000066,35216,PA,2025-07-26,2025-01-26,credit_card
ACCT00000067,90295,NC,2025-09-26,2025-04-26,credit_card
ACCT00000068,91515,MI,2025-02-26,2024-12-26,fintech_personal_loan
ACCT00000069,94481,WA,2025-07-26,2024-08-26,credit_card
ACCT00000070,71860,CA,2025-06-26,2024-12-26,fintech_personal_loan
ACCT00000071,32821,NY,2025-07-26,,fintech_personal_loan
ACCT00000072,53654,NC,2025-10-26,2025-05-26,fintech_personal_loan
ACCT00000073,27709,TX,2025-02-26,2024-09-26,fintech_personal_loan
ACCT00000074,51482,VA,2025-11-26,2024-08-26,fintech_personal_loan
ACCT00000075,39885,MI,2026-02-26,2024-10-26,fintech_personal_loan
ACCT00000076,41740,FL,2025-05-26,2025-02-26,fintech_personal_loan
ACCT00000077,43756,PA,2025-10-26,2025-08-26,bnpl
ACCT00000078,57735,OH,2026-02-26,2025-02-26,credit_card
ACCT00000079,47211,IL,2025-06-26,2024-11-26,fintech_personal_loan
ACCT00000080,56851,WA,2026-01-26,2024-11-26,fintech_personal_loan
ACCT00000081,83686,MI,2026-01-26,2025-06-26,credit_card
ACCT00000082,87679,WA,2025-08-26,2025-06-26,credit_card
ACCT00000083,42525,GA,2025-12-26,2025-03-26,fintech_personal_loan
ACCT00000084,39882,PA,2025-10-26,2024-09-26,fintech_personal_loan
ACCT00000085,35813,IL,2025-12-26,2025-04-26,fintech_personal_loan
ACCT00000086,53890,NC,2025-04-26,,fintech_personal_loan
ACCT00000087,66013,TX,2025-08-26,2025-02-26,credit_card
ACCT00000088,37732,GA,2025-08-26,2024-12-26,fintech_personal_loan
ACCT00000089,62850,VA,2025-06-26,2025-05-26,bnpl
ACCT00000090,56424,VA,2025-08-26,2025-03-26,fintech_personal_loan
ACCT00000091,92463,VA,2025-07-26,2024-11-26,credit_card
ACCT00000092,50970,NC,2026-01-26,2024-10-26,credit_card
ACCT00000093,28128,GA,2025-05-26,2025-01-26,fintech_personal_loan
ACCT00000094,61081,GA,2025-07-26,2024-09-26,credit_card
ACCT00000095,119934,VA,2025-09-26,2025-04-26,fintech_personal_loan
ACCT00000096,60456,NY,2025-11-26,2025-04-26,fintech_personal_loan
ACCT00000097,58029,IL,2025-07-26,2025-02-26,credit_card
ACCT00000098,20000,WA,2026-01-26,2025-05-26,bnpl
ACCT00000099,72849,MI,2025-03-26,2024-11-26,bnpl
ACCT00000100,89467,WA,2025-11-26,2025-06-26,fintech_personal_loan
ACCT00000101,44286,FL,2025-08-26,2025-03-26,fintech_personal_loan
ACCT00000102,29460,GA,2025-05-26,2025-04-26,credit_card
ACCT00000103,45417,CA,2025-05-26,2024-11-26,bnpl
ACCT00000104,30297,NC,2025-06-26,2024-10-26,fintech_personal_loan
ACCT00000105,51354,MI,2025-11-26,2024-10-26,bnpl
ACCT00000106,27070,CA,2025-06-26,2025-03-26,fintech_personal_loan
ACCT00000107,20000,NC,2025-09-26,2025-07-26,fintech_personal_loan
ACCT00000108,127626,NC,2025-12-26,2025-01-26,bnpl
ACCT00000109,150000,TX,2025-10-26,2025-08-26,bnpl
ACCT00000110,23901,MI,2025-03-26,2024-09-26,bnpl
ACCT00000111,35855,FL,2025-02-26,2024-12-26,fintech_personal_loan
ACCT00000112,43381,GA,2025-07-26,2025-05-26,credit_card
ACCT00000113,150000,MI,2025-04-26,2024-09-26,fintech_personal_loan
ACCT00000114,69804,OH,2025-12-26,2025-06-26,fintech_personal_loan
ACCT00000115,42907,GA,2025-08-26,2024-08-26,bnpl
ACCT00000116,95335,VA,2025-08-26,,fintech_personal_loan
ACCT00000117,124431,VA,2025-08-26,2024-09-26,credit_card
ACCT00000118,27803,CA,2025-06-26,2025-05-26,fintech_personal_loan
ACCT00000119,144083,FL,2025-05-26,2024-09-26,fintech_personal_loan
