account_id,balance_cents,state,chargeoff_date,last_payment_date,debt_type
ACCT00000000,146251,NY,2025-08-26,,bnpl
ACCT00000001,52682,CA,2025-04-26,2025-02-26,fintech_personal_loan
ACCT00000002,63415,TX,2025-10-26,,credit_card
ACCT00000003,48434,TX,2026-01-26,2025-01-26,credit_card
ACCT00000004,34297,NY,2025-02-26,2025-01-26,credit_card
ACCT00000005,95072,TX,2025-04-26,2024-08-26,fintech_personal_loan
ACCT00000006,35954,WA,2025-07-26,2025-04-26,unknown
ACCT00000007,144085,NY,2025-05-26,2024-11-26,bnpl
ACCT00000008,27306,TX,2025-07-26,,bnpl
ACCT00000009,99693,NY,,2025-01-26,credit_card
ACCT00000010,48036,NY,2025-02-26,2025-01-26,bnpl
ACCT00000011,95690,TX,2025-07-26,2025-02-26,fintech_personal_loan
ACCT00000012,41944,TX,2025-07-26,2025-02-26,credit_card
ACCT00000013,61891,TX,2026-02-26,2025-06-26,bnpl
ACCT00000014,100140,NY,2025-11-26,2025-05-26,fintech_personal_loan
ACCT00000015,64802,TX,2025-04-26,2025-01-26,credit_card
ACCT00000016,88049,TX,2025-12-26,,fintech_personal_loan
ACCT00000017,124542,NY,2026-02-26,2025-07-26,fintech_personal_loan
ACCT00000018,90674,TX,2026-02-26,2025-05-26,fintech_personal_loan
ACCT00000019,109758,NY,2025-10-26,2025-05-26,credit_card
ACCT00000020,58646,NY,2025-12-26,2025-05-26,bnpl
ACCT00000021,56417,FL,2025-08-26,2024-12-26,fintech_personal_loan
ACCT00000022,57799,TX,2026-02-26,2025-08-26,credit_card
ACCT00000023,30321,NY,2025-05-26,,fintech_personal_loan
ACCT00000024,45545,CA,2025-04-26,2025-01-26,bnpl
ACCT00000025,23595,TX,2026-01-26,2025-06-26,fintech_personal_loan
ACCT00000026,71795,IL,2025-08-26,2024-12-26,fintech_personal_loan
ACCT00000027,20037,NY,2025-11-26,,fintech_personal_loan
ACCT00000028,41983,TX,2025-12-26,,credit_card
ACCT00000029,47781,TX,2025-12-26,2025-08-26,bnpl
ACCT00000030,74792,TX,2025-03-26,2025-01-26,fintech_personal_loan
ACCT00000031,137614,NY,2026-01-26,2024-08-26,bnpl
ACCT00000032,59980,NY,2026-02-26,2025-07-26,credit_card
ACCT00000033,94305,CA,2025-02-26,2024-11-26,credit_card
ACCT00000034,41171,NY,2025-07-26,2025-05-26,credit_card
ACCT00000035,64010,NY,2025-07-26,2025-02-26,fintech_personal_loan
ACCT00000036,53467,NY,2025-03-26,,credit_card
ACCT00000037,139300,TX,2025-07-26,2025-02-26,fintech_personal_loan
ACCT00000038,65949,NY,2025-02-26,2024-12-26,fintech_personal_loan
ACCT00000039,125686,NY,2025-12-26,2025-06-26,fintech_personal_loan
ACCT00000040,122039,NY,2025-03-26,2025-01-26,fintech_personal_loan
ACCT00000041,34011,NY,2026-01-26,2025-08-26,fintech_personal_loan
ACCT00000042,88665,TX,2025-12-26,2025-01-26,unknown
ACCT00000043,20737,NY,2025-08-26,2025-07-26,unknown
ACCT00000044,57784,NY,2025-08-26,2025-06-26,credit_card
ACCT00000045,52686,TX,2025-04-26,2024-09-26,credit_card
ACCT00000046,149452,TX,2026-01-26,2024-08-26,fintech_personal_loan
ACCT00000047,20000,TX,2025-11-26,2024-09-26,fintech_personal_loan
ACCT00000048,114179,GA,2025-02-26,2024-11-26,credit_card
ACCT00000049,25600,TX,2025-04-26,2025-03-26,bnpl
ACCT00000050,80815,NY,2026-01-26,2025-06-26,fintech_personal_loan
ACCT00000051,56272,NY,2026-02-26,2024-08-26,fintech_personal_loan
ACCT00000052,150000,NY,2025-08-26,2024-09-26,fintech_personal_loan
ACCT00000053,113574,TX,2025-10-26,2024-09-26,fintech_personal_loan
ACCT00000054,77276,TX,2025-08-26,2025-07-26,credit_card
ACCT00000055,86808,NY,2025-02-26,2024-12-26,fintech_personal_loan
ACCT00000056,80533,NY,2025-02-26,2025-01-26,credit_card
ACCT00000057,39977,TX,2025-07-26,2025-06-26,credit_card
ACCT00000058,43138,NY,2025-04-26,,unknown
ACCT00000059,84357,TX,2025-06-26,2025-05-26,credit_card
ACCT00000060,87872,NY,2025-10-26,,fintech_personal_loan
ACCT00000061,56000,NY,2025-05-26,2024-10-26,fintech_personal_loan
ACCT00000062,26846,TX,2026-01-26,2025-01-26,unknown
ACCT00000063,75226,TX,2025-09-26,2024-10-26,fintech_personal_loan
ACCT00000064,24125,NY,2025-04-26,2025-02-26,fintech_personal_loan
ACCT00000065,25065,NY,2026-01-26,2024-11-26,bnpl
ACCT00000066,35216,NY,2025-09-26,2025-07-26,credit_card
ACCT00000067,90295,NY,2025-08-26,2025-07-26,fintech_personal_loan
ACCT00000068,91515,NY,2025-07-26,,unknown
ACCT00000069,94481,NY,2025-07-26,2025-04-26,unknown
ACCT00000070,71860,NY,2025-06-26,2024-08-26,fintech_personal_loan
ACCT00000071,32821,OH,2025-03-26,,credit_card
ACCT00000072,53654,NY,2026-02-26,2025-07-26,fintech_personal_loan
ACCT00000073,27709,TX,2025-02-26,2024-11-26,credit_card
ACCT00000074,51482,TX,2025-03-26,2025-01-26,credit_card
ACCT00000075,39885,NY,2026-02-26,2024-11-26,fintech_personal_loan
ACCT00000076,41740,NY,2025-07-26,2025-01-26,credit_card
ACCT00000077,43756,VA,2026-01-26,2024-08-26,fintech_personal_loan
ACCT00000078,57735,NY,2025-11-26,2024-08-26,fintech_personal_loan
ACCT00000079,47211,IL,2025-05-26,2024-12-26,credit_card
ACCT00000080,56851,CA,2025-02-26,2024-12-26,fintech_personal_loan
ACCT00000081,83686,TX,2026-02-26,2025-03-26,credit_card
ACCT00000082,87679,NY,2025-09-26,2024-11-26,credit_card
ACCT00000083,42525,IL,2025-12-26,2025-05-26,bnpl
ACCT00000084,39882,NY,2025-12-26,2025-01-26,credit_card
ACCT00000085,35813,GA,2026-02-26,2025-04-26,credit_card
ACCT00000086,53890,MI,2025-06-26,2025-03-26,fintech_personal_loan
ACCT00000087,66013,TX,2025-10-26,2024-10-26,fintech_personal_loan
ACCT00000088,37732,TX,2025-10-26,2025-02-26,fintech_personal_loan
ACCT00000089,62850,NY,2025-10-26,2025-06-26,credit_card
ACCT00000090,56424,FL,2025-12-26,2024-11-26,unknown
ACCT00000091,92463,TX,2025-08-26,2024-10-26,credit_card
ACCT00000092,50970,NY,2025-09-26,2025-02-26,fintech_personal_loan
ACCT00000093,28128,NY,2025-11-26,,fintech_personal_loan
ACCT00000094,61081,NY,2026-01-26,2024-09-26,fintech_personal_loan
ACCT00000095,119934,TX,2025-08-26,2025-07-26,fintech_personal_loan
ACCT00000096,60456,TX,2025-09-26,2024-12-26,fintech_personal_loan
ACCT00000097,58029,NY,2025-03-26,2025-01-26,credit_card
ACCT00000098,20000,FL,2025-04-26,,credit_card
ACCT00000099,72849,NY,2025-03-26,2025-01-26,credit_card
ACCT00000100,89467,NC,2026-02-26,2025-08-26,fintech_personal_loan
ACCT00000101,44286,NY,2025-12-26,,credit_card
ACCT00000102,29460,TX,2025-12-26,2024-09-26,fintech_personal_loan
ACCT00000103,45417,TX,2025-03-26,2025-02-26,bnpl
ACCT00000104,30297,NY,2025-07-26,2025-06-26,bnpl
ACCT00000105,51354,TX,2026-01-26,2024-12-26,credit_card
ACCT00000106,27070,TX,2025-11-26,2025-05-26,bnpl
ACCT00000107,20000,NY,2025-10-26,2025-01-26,unknown
ACCT00000108,127626,NC,2025-06-26,2024-12-26,unknown
ACCT00000109,150000,TX,2025-10-26,2025-07-26,fintech_personal_loan
ACCT00000110,23901,TX,2025-08-26,2025-06-26,fintech_personal_loan
ACCT00000111,35855,TX,2026-02-26,2024-09-26,credit_card
ACCT00000112,43381,PA,2025-08-26,2025-04-26,fintech_personal_loan
ACCT00000113,150000,NY,2026-02-26,2025-02-26,fintech_personal_loan
ACCT00000114,69804,NY,2026-01-26,2024-12-26,credit_card
